Código;Índice;Qtde Teórica;Part. (%)
PDTC3;IGC;69787612;0.010
PGMN3;IGC;318636000;0.074
PMAM3;IGC;86807698;0.027
PETR3;IGC;5526090268;3.460
PETR4;IGC;6849685555;4.166
BRDT3;IGC;2329916252;1.285
RECV3;IGC;447335116;0.183
PRIO3;IGC;1614440830;0.650
PETZ3;IGC;523913622;0.279
PINE4;IGC;80381151;0.005
PLPL3;IGC;146809000;0.019
PSSA3;IGC;187274144;0.207
PTBL3;IGC;139993156;0.051
POSI3;IGC;157232996;0.040
PRNR3;IGC;76355100;0.016
PFRM3;IGC;174999556;0.024
QUAL3;IGC;566935578;0.339
LJQQ3;IGC;355469548;0.168
RADL3;IGC;2145290300;1.096
RAPT3;IGC;21308966;0.006
RAPT4;IGC;177421406;0.050
RDOR3;IGC;1806255180;2.577
RDNI3;IGC;30099670;0.007
RSID3;IGC;27353212;0.006
RAIL3;IGC;2436162342;0.964
SBSP3;IGC;679998222;0.514
SAPR4;IGC;305255731;0.026
SAPR11;IGC;301486851;0.127
STBP3;IGC;1715990422;0.320
SCAR3;IGC;45554704;0.040
SMTO3;IGC;286064146;0.214
SEQL3;IGC;219570458;0.128
SEER3;IGC;108692414;0.042
SIMH3;IGC;171324750;0.197
SQIA3;IGC;117404116;0.060
SLCE3;IGC;172172428;0.183
SGPS3;IGC;46817282;0.011
SULA11;IGC;426849174;0.307
SUZB3;IGC;1449842482;1.792
TAEE11;IGC;327852411;0.250
TASA3;IGC;11693211;0.006
TASA4;IGC;73326253;0.036
TECN3;IGC;129806144;0.008
TCSA3;IGC;109002492;0.019
TGMA3;IGC;64002960;0.032
TEND3;IGC;192817522;0.100
TESA3;IGC;14369458;0.015
TIMS3;IGC;1616971970;0.385
SHOW3;IGC;70227480;0.009
TOTS3;IGC;960456820;0.747
TFCO4;IGC;86304331;0.028
TRPL3;IGC;27080900;0.018
TRPL4;IGC;395797044;0.205
TRIS3;IGC;157287888;0.032
TPIS3;IGC;148123046;0.011
TUPY3;IGC;133642394;0.065
UGPA3;IGC;2171974852;0.826
UCAS3;IGC;58681276;0.006
USIM3;IGC;161021803;0.066
USIM5;IGC;513796208;0.203
VALE3;IGC;8207010444;19.210
VLID3;IGC;157164802;0.036
VAMO3;IGC;91240874;0.107
VVAR3;IGC;3191017202;1.041
VIVA3;IGC;186737452;0.127
VULC3;IGC;149370582;0.030
WEGE3;IGC;2964592004;2.064
WEST3;IGC;158877896;0.030
WIZS3;IGC;155439598;0.057
YDUQ3;IGC;600967150;0.408
RRRP3;IGC-NM;129507288;0.348
AERI3;IGC-NM;218058827;0.128
AESB3;IGC-NM;149647285;0.124
ALSO3;IGC-NM;127376805;0.219
AALR3;IGC-NM;46716473;0.033
ALLD3;IGC-NM;28506279;0.063
APER3;IGC-NM;14408593;0.042
AVLL3;IGC-NM;4667950;0.007
AMBP3;IGC-NM;43733334;0.118
ANIM3;IGC-NM;288432555;0.236
ARZZ3;IGC-NM;45095471;0.253
ASAI3;IGC-NM;156928631;0.806
BTOW3;IGC-NM;201802882;0.793
B3SA3;IGC-NM;6119434194;6.108
BBSE3;IGC-NM;671584841;0.920
BMOB3;IGC-NM;88090318;0.123
BKBR3;IGC-NM;272245759;0.193
BLAU3;IGC-NM;175299078;0.518
SOJA3;IGC-NM;40404040;0.037
BOAS3;IGC-NM;522892802;0.341
BBRK3;IGC-NM;77734448;0.012
BRML3;IGC-NM;843728684;0.508
BRPR3;IGC-NM;198812616;0.108
BBAS3;IGC-NM;1283197221;2.446
AGRO3;IGC-NM;51771532;0.092
BRFS3;IGC-NM;811759800;1.316
CXSE3;IGC-NM;450000000;0.349
CAML3;IGC-NM;116264997;0.066
CRFB3;IGC-NM;391758726;0.488
CCRO3;IGC-NM;1115693556;0.890
CEAB3;IGC-NM;106394635;0.091
HGTX3;IGC-NM;126186408;0.256
CIEL3;IGC-NM;1112196638;0.240
COGN3;IGC-NM;1847994874;0.475
CSMG3;IGC-NM;188444559;0.173
CSAN3;IGC-NM;1169237744;1.662
CPFE3;IGC-NM;187714249;0.300
CSED3;IGC-NM;77755200;0.071
CARD3;IGC-NM;18217771;0.025
CURY3;IGC-NM;104545454;0.064
CVCB3;IGC-NM;225955651;0.371
CCPR3;IGC-NM;59386986;0.042
CYRE3;IGC-NM;281154098;0.389
DMVF3;IGC-NM;23536205;0.013
DASA3;IGC-NM;51285401;0.188
DIRR3;IGC-NM;81360368;0.068
DOTZ3;IGC-NM;33724652;0.028
DTEX3;IGC-NM;273813447;0.387
ECOR3;IGC-NM;172602770;0.121
ELMD3;IGC-NM;50909200;0.054
EMBR3;IGC-NM;736143105;0.824
ENAT3;IGC-NM;75939767;0.081
ENBR3;IGC-NM;231489471;0.243
ENEV3;IGC-NM;1258511620;1.268
EGIE3;IGC-NM;254792279;0.592
ENJU3;IGC-NM;167521497;0.102
EQTL3;IGC-NM;1010286085;1.487
ESPA3;IGC-NM;161552357;0.182
ALPK3;IGC-NM;103710767;0.050
EVEN3;IGC-NM;209535948;0.130
EZTC3;IGC-NM;95756217;0.177
FLRY3;IGC-NM;303800430;0.467
POWE3;IGC-NM;42864081;0.042
GFSA3;IGC-NM;118208091;0.031
GSHP3;IGC-NM;1875251;0.004
NINJ3;IGC-NM;42897889;0.068
GGPS3;IGC-NM;667490790;0.682
GRND3;IGC-NM;268371180;0.160
GMAT3;IGC-NM;463952163;0.218
NTCO3;IGC-NM;841433075;2.833
SBFG3;IGC-NM;88709474;0.201
SOMA3;IGC-NM;183851421;0.174
HAPV3;IGC-NM;1265256490;1.157
HBRE3;IGC-NM;24540000;0.026
HBOR3;IGC-NM;65261522;0.033
HBSA3;IGC-NM;325623566;0.124
HYPE3;IGC-NM;410147968;0.839
IGTA3;IGC-NM;85796919;0.206
PARD3;IGC-NM;43661030;0.054
MEAL3;IGC-NM;264441032;0.064
ROMI3;IGC-NM;37272660;0.054
IFCM3;IGC-NM;231208845;0.326
INTB3;IGC-NM;82800000;0.141
GNDI3;IGC-NM;593438080;2.990
MYPK3;IGC-NM;141465625;0.135
RANI3;IGC-NM;85725289;0.047
IRBR3;IGC-NM;1255286531;0.430
JALL3;IGC-NM;97713448;0.059
JBSS3;IGC-NM;1388025890;2.397
JHSF3;IGC-NM;288832602;0.124
JSLG3;IGC-NM;63399039;0.045
LAVV3;IGC-NM;93139429;0.046
LIGT3;IGC-NM;372555324;0.337
RENT3;IGC-NM;593841434;2.255
LCAM3;IGC-NM;323763077;0.527
LWSA3;IGC-NM;427663748;0.687
LOGG3;IGC-NM;59190591;0.112
LOGN3;IGC-NM;100109944;0.112
AMAR3;IGC-NM;111476495;0.061
LREN3;IGC-NM;887417914;2.329
LPSB3;IGC-NM;114874308;0.032
MDIA3;IGC-NM;83669782;0.162
MGLU3;IGC-NM;2668955512;3.349
MRFG3;IGC-NM;368864634;0.419
MATD3;IGC-NM;354723193;0.353
CASH3;IGC-NM;74543311;0.218
MELK3;IGC-NM;76214700;0.028
LEVE3;IGC-NM;38492519;0.076
MILS3;IGC-NM;115486678;0.060
BEEF3;IGC-NM;240482896;0.134
MTRE3;IGC-NM;54039454;0.038
MBLY3;IGC-NM;44444445;0.047
MOSI3;IGC-NM;55594460;0.061
MDNE3;IGC-NM;57199595;0.034
MOVI3;IGC-NM;132113940;0.154
MRVE3;IGC-NM;293978672;0.285
NEOE3;IGC-NM;226098192;0.233
NGRD3;IGC-NM;108100000;0.037
OPCT3;IGC-NM;199959554;0.106
ODPV3;IGC-NM;263448316;0.204
OMGE3;IGC-NM;122249557;0.276
ORVR3;IGC-NM;33918099;0.059
OFSA3;IGC-NM;23582833;0.048
PCAR3;IGC-NM;156928631;0.360
PDTC3;IGC-NM;34893806;0.014
PGMN3;IGC-NM;159318000;0.106
PMAM3;IGC-NM;43403849;0.038
BRDT3;IGC-NM;1164958126;1.844
RECV3;IGC-NM;223667558;0.262
PRIO3;IGC-NM;807220415;0.933
PETZ3;IGC-NM;261956811;0.401
PLPL3;IGC-NM;73404500;0.027
PSSA3;IGC-NM;93637072;0.297
PTBL3;IGC-NM;69996578;0.073
POSI3;IGC-NM;78616498;0.058
PRNR3;IGC-NM;38177550;0.024
PFRM3;IGC-NM;87499778;0.035
QUAL3;IGC-NM;283467789;0.486
LJQQ3;IGC-NM;177734774;0.241
RADL3;IGC-NM;1072645150;1.573
RDOR3;IGC-NM;903127590;3.699
RDNI3;IGC-NM;15049835;0.011
RSID3;IGC-NM;13676606;0.009
RAIL3;IGC-NM;1218081171;1.384
SBSP3;IGC-NM;339999111;0.738
STBP3;IGC-NM;857995211;0.460
SCAR3;IGC-NM;22777352;0.058
SMTO3;IGC-NM;143032073;0.306
SEQL3;IGC-NM;109785229;0.183
SEER3;IGC-NM;54346207;0.060
SIMH3;IGC-NM;85662375;0.283
SQIA3;IGC-NM;58702058;0.086
SLCE3;IGC-NM;86086214;0.262
SGPS3;IGC-NM;23408641;0.016
SUZB3;IGC-NM;724921241;2.573
TECN3;IGC-NM;64903072;0.012
TCSA3;IGC-NM;54501246;0.027
TGMA3;IGC-NM;32001480;0.046
TEND3;IGC-NM;96408761;0.143
TESA3;IGC-NM;7184729;0.021
TIMS3;IGC-NM;808485985;0.553
SHOW3;IGC-NM;35113740;0.013
TOTS3;IGC-NM;480228410;1.073
TRIS3;IGC-NM;78643944;0.046
TPIS3;IGC-NM;74061523;0.015
TUPY3;IGC-NM;66821197;0.094
UGPA3;IGC-NM;1085987426;1.185
UCAS3;IGC-NM;29340638;0.009
VALE3;IGC-NM;2889469796;19.416
VLID3;IGC-NM;78582401;0.051
VAMO3;IGC-NM;45620437;0.153
VVAR3;IGC-NM;1595508601;1.495
VIVA3;IGC-NM;93368726;0.182
VULC3;IGC-NM;74685291;0.043
WEGE3;IGC-NM;1482296002;2.963
WEST3;IGC-NM;79438948;0.044
WIZS3;IGC-NM;77719799;0.081
YDUQ3;IGC-NM;300483575;0.586
RRRP3;IGCT;129507288;0.214
ABCB4;IGCT;70580422;0.040
AERI3;IGCT;218058827;0.079
AESB3;IGCT;149647285;0.076
ALSO3;IGCT;127376805;0.135
AALR3;IGCT;46716473;0.020
ALPA4;IGCT;168770200;0.309
ALUP11;IGCT;178970157;0.172
AMBP3;IGCT;43733334;0.073
ANIM3;IGCT;288432555;0.145
ARZZ3;IGCT;45095471;0.156
ASAI3;IGCT;156928631;0.495
AZUL4;IGCT;327262616;0.524
BTOW3;IGCT;201802882;0.488
B3SA3;IGCT;6119434194;3.755
BMGB4;IGCT;99052274;0.018
BIDI4;IGCT;100239024;0.096
BIDI11;IGCT;453631743;1.287
BPAN4;IGCT;341124068;0.299
BRSR6;IGCT;202531540;0.098
BBSE3;IGCT;671584841;0.566
BKBR3;IGCT;272245759;0.118
BRML3;IGCT;843728684;0.313
BRPR3;IGCT;198812616;0.067
BBDC3;IGCT;1253093907;0.999
BBDC4;IGCT;4261649634;4.001
BRAP4;IGCT;222604507;0.604
BBAS3;IGCT;1283197221;1.504
AGRO3;IGCT;51771532;0.056
BRKM5;IGCT;264640575;0.575
BRFS3;IGCT;811759800;0.809
BPAC11;IGCT;1041983176;1.160
CAML3;IGCT;116264997;0.040
CRFB3;IGCT;391758726;0.301
CCRO3;IGCT;1115693556;0.547
CEAB3;IGCT;106394635;0.056
CMIG3;IGCT;266451715;0.142
CMIG4;IGCT;1081211185;0.478
CESP6;IGCT;182017689;0.159
HGTX3;IGCT;126186408;0.157
CIEL3;IGCT;1112196638;0.148
COGN3;IGCT;1847994874;0.292
CSMG3;IGCT;188444559;0.107
CPLE3;IGCT;71640156;0.015
CPLE6;IGCT;570829074;0.123
CSAN3;IGCT;1169237744;1.022
CPFE3;IGCT;187714249;0.184
CURY3;IGCT;104545454;0.039
CVCB3;IGCT;225955651;0.229
CYRE3;IGCT;281154098;0.239
PNVL3;IGCT;68859355;0.054
DIRR3;IGCT;81360368;0.042
DTEX3;IGCT;273813447;0.238
ECOR3;IGCT;172602770;0.075
ELET3;IGCT;358018408;0.563
ELET6;IGCT;242977127;0.384
EMBR3;IGCT;736143105;0.507
ENAT3;IGCT;75939767;0.050
ENBR3;IGCT;231489471;0.149
ENGI11;IGCT;250679709;0.426
ENEV3;IGCT;1258511620;0.780
EGIE3;IGCT;254792279;0.364
ENJU3;IGCT;167521497;0.063
EQTL3;IGCT;1010286085;0.914
EVEN3;IGCT;209535948;0.080
EZTC3;IGCT;95756217;0.108
FESA4;IGCT;40145300;0.065
FLRY3;IGCT;303800430;0.287
GFSA3;IGCT;118208091;0.019
GGBR4;IGCT;995903643;1.076
GOAU4;IGCT;693699918;0.350
GOLL4;IGCT;178123292;0.149
GRND3;IGCT;268371180;0.098
GMAT3;IGCT;463952163;0.134
NTCO3;IGCT;841433075;1.742
SBFG3;IGCT;88709474;0.124
SOMA3;IGCT;183851421;0.107
HAPV3;IGCT;1265256490;0.711
HBOR3;IGCT;65261522;0.020
HBSA3;IGCT;325623566;0.077
HYPE3;IGCT;410147968;0.516
IGTA3;IGCT;85796919;0.127
PARD3;IGCT;43661030;0.033
MEAL3;IGCT;264441032;0.039
ROMI3;IGCT;37272660;0.033
GNDI3;IGCT;593438080;1.839
MYPK3;IGCT;141465625;0.083
RANI3;IGCT;85725289;0.029
IRBR3;IGCT;1255286531;0.264
ITSA4;IGCT;4515538171;1.837
ITUB3;IGCT;384789136;0.375
ITUB4;IGCT;4770095054;5.184
JBSS3;IGCT;1388025890;1.474
JHSF3;IGCT;288832602;0.076
KLBN11;IGCT;922294338;0.886
LAVV3;IGCT;93139429;0.028
LIGT3;IGCT;372555324;0.207
RENT3;IGCT;593841434;1.387
LCAM3;IGCT;323763077;0.324
LWSA3;IGCT;427663748;0.422
LOGG3;IGCT;59190591;0.069
LOGN3;IGCT;100109944;0.069
LAME3;IGCT;249502964;0.188
LAME4;IGCT;847010651;0.667
AMAR3;IGCT;111476495;0.038
LREN3;IGCT;887417914;1.432
LPSB3;IGCT;114874308;0.020
MDIA3;IGCT;83669782;0.100
MGLU3;IGCT;2668955512;2.059
POMO4;IGCT;573419889;0.071
MRFG3;IGCT;368864634;0.258
CASH3;IGCT;74543311;0.134
LEVE3;IGCT;38492519;0.046
MILS3;IGCT;115486678;0.037
BEEF3;IGCT;240482896;0.082
MTRE3;IGCT;54039454;0.024
MOVI3;IGCT;132113940;0.095
MRVE3;IGCT;293978672;0.175
MULT3;IGCT;245888754;0.211
NEOE3;IGCT;226098192;0.143
NGRD3;IGCT;108100000;0.023
ODPV3;IGCT;263448316;0.125
OMGE3;IGCT;122249557;0.169
PCAR3;IGCT;156928631;0.221
PETR3;IGCT;3684060179;4.071
PETR4;IGCT;4566457037;4.903
BRDT3;IGCT;1164958126;1.134
PRIO3;IGCT;807220415;0.574
PETZ3;IGCT;261956811;0.246
PSSA3;IGCT;93637072;0.183
PTBL3;IGCT;69996578;0.045
POSI3;IGCT;78616498;0.035
QUAL3;IGCT;283467789;0.299
LJQQ3;IGCT;177734774;0.149
RADL3;IGCT;1072645150;0.967
RAPT4;IGCT;177421406;0.088
RDOR3;IGCT;903127590;2.275
RAIL3;IGCT;1218081171;0.851
SBSP3;IGCT;339999111;0.454
SAPR4;IGCT;203503821;0.030
SAPR11;IGCT;200991234;0.149
STBP3;IGCT;857995211;0.283
SMTO3;IGCT;143032073;0.188
SEQL3;IGCT;109785229;0.113
SEER3;IGCT;54346207;0.037
SIMH3;IGCT;85662375;0.174
SQIA3;IGCT;58702058;0.053
SLCE3;IGCT;86086214;0.161
SULA11;IGCT;284566116;0.361
SUZB3;IGCT;724921241;1.582
TAEE11;IGCT;218568274;0.294
TASA4;IGCT;48884169;0.042
TCSA3;IGCT;54501246;0.017
TGMA3;IGCT;32001480;0.028
TEND3;IGCT;96408761;0.088
TIMS3;IGCT;808485985;0.340
TOTS3;IGCT;480228410;0.660
TRPL4;IGCT;395797044;0.362
TRIS3;IGCT;78643944;0.028
TUPY3;IGCT;66821197;0.058
UGPA3;IGCT;1085987426;0.729
USIM5;IGCT;513796208;0.358
VALE3;IGCT;4687084947;19.366
VLID3;IGCT;78582401;0.032
VVAR3;IGCT;1595508601;0.919
VIVA3;IGCT;93368726;0.112
VULC3;IGCT;74685291;0.027
WEGE3;IGCT;1482296002;1.822
WIZS3;IGCT;77719799;0.050
YDUQ3;IGCT;300483575;0.359
RRRP3;ITAG;129507288;0.211
ABCB4;ITAG;70580422;0.040
AERI3;ITAG;218058827;0.078
AESB3;ITAG;149647285;0.075
ALSO3;ITAG;127376805;0.133
AALR3;ITAG;46716473;0.020
ALLD3;ITAG;28506279;0.038
APER3;ITAG;14408593;0.025
AVLL3;ITAG;4667950;0.004
ALUP11;ITAG;178970157;0.170
AMBP3;ITAG;43733334;0.072
ANIM3;ITAG;288432555;0.143
ARZZ3;ITAG;45095471;0.153
ASAI3;ITAG;156928631;0.488
AZUL4;ITAG;327262616;0.516
BTOW3;ITAG;201802882;0.481
B3SA3;ITAG;6119434194;3.700
BAHI3;ITAG;1379591;0.004
BMGB4;ITAG;99052274;0.017
BIDI4;ITAG;100239024;0.094
BIDI11;ITAG;453631743;1.268
BPAN4;ITAG;341124068;0.295
BGIP4;ITAG;1063111;0.001
BRSR3;ITAG;3839426;0.002
BRSR6;ITAG;202531540;0.097
BBSE3;ITAG;671584841;0.558
BMOB3;ITAG;88090318;0.074
BIOM3;ITAG;19799632;0.011
BKBR3;ITAG;272245759;0.117
BLAU3;ITAG;175299078;0.314
SOJA3;ITAG;40404040;0.022
BOAS3;ITAG;522892802;0.207
BBRK3;ITAG;77734448;0.008
BRML3;ITAG;843728684;0.307
BRPR3;ITAG;198812616;0.066
BBDC3;ITAG;1253093907;0.985
BBDC4;ITAG;4261649634;3.941
BRAP3;ITAG;26906369;0.062
BRAP4;ITAG;222604507;0.595
BBAS3;ITAG;1283197221;1.482
AGRO3;ITAG;51771532;0.056
BRKM3;ITAG;12907077;0.027
BRKM5;ITAG;264640575;0.566
BRFS3;ITAG;811759800;0.797
BPAC11;ITAG;1041983176;1.143
CXSE3;ITAG;450000000;0.211
CAML3;ITAG;116264997;0.040
CRFB3;ITAG;391758726;0.296
CCRO3;ITAG;1115693556;0.539
CEAB3;ITAG;106394635;0.055
CEDO4;ITAG;3456367;0.001
CLSC4;ITAG;22810149;0.056
CESP6;ITAG;182017689;0.157
HGTX3;ITAG;126186408;0.155
CIEL3;ITAG;1112196638;0.146
COGN3;ITAG;1847994874;0.288
CSMG3;ITAG;188444559;0.105
CSAN3;ITAG;1169237744;1.007
CTNM4;ITAG;14560262;0.003
CPFE3;ITAG;187714249;0.182
CRDE3;ITAG;2380679;0.002
CSED3;ITAG;77755200;0.043
CMIN3;ITAG;1200110145;0.395
CARD3;ITAG;18217771;0.015
CURY3;ITAG;104545454;0.038
CVCB3;ITAG;225955651;0.225
CCPR3;ITAG;59386986;0.025
CYRE3;ITAG;281154098;0.236
DMVF3;ITAG;23536205;0.008
DASA3;ITAG;51285401;0.114
PNVL3;ITAG;68859355;0.053
PNVL4;ITAG;13485690;0.010
DIRR3;ITAG;81360368;0.041
DOTZ3;ITAG;33724652;0.017
DTEX3;ITAG;273813447;0.234
ECOR3;ITAG;172602770;0.074
ELMD3;ITAG;50909200;0.033
EMBR3;ITAG;736143105;0.499
ENAT3;ITAG;75939767;0.049
ENBR3;ITAG;231489471;0.147
ENGI11;ITAG;250679709;0.420
ENEV3;ITAG;1258511620;0.768
EGIE3;ITAG;254792279;0.359
ENJU3;ITAG;167521497;0.062
EQTL3;ITAG;1010286085;0.901
ESPA3;ITAG;161552357;0.110
ALPK3;ITAG;103710767;0.031
EVEN3;ITAG;209535948;0.079
EZTC3;ITAG;95756217;0.107
FLRY3;ITAG;303800430;0.283
POWE3;ITAG;42864081;0.025
GFSA3;ITAG;118208091;0.019
GSHP3;ITAG;1875251;0.003
GEPA4;ITAG;3300250;0.004
GGBR3;ITAG;14031044;0.013
GGBR4;ITAG;995903643;1.060
GOAU3;ITAG;90953948;0.042
GOAU4;ITAG;693699918;0.345
NINJ3;ITAG;42897889;0.041
GOLL4;ITAG;178123292;0.147
GGPS3;ITAG;667490790;0.413
CGRA3;ITAG;2634233;0.003
CGRA4;ITAG;9064749;0.011
GRND3;ITAG;268371180;0.097
GMAT3;ITAG;463952163;0.132
NTCO3;ITAG;841433075;1.716
SBFG3;ITAG;88709474;0.122
SOMA3;ITAG;183851421;0.105
HAPV3;ITAG;1265256490;0.701
HBRE3;ITAG;24540000;0.016
HBOR3;ITAG;65261522;0.020
HBSA3;ITAG;325623566;0.075
HYPE3;ITAG;410147968;0.508
IGTA3;ITAG;85796919;0.125
PARD3;ITAG;43661030;0.033
MEAL3;ITAG;264441032;0.039
ROMI3;ITAG;37272660;0.032
IFCM3;ITAG;231208845;0.198
INTB3;ITAG;82800000;0.085
GNDI3;ITAG;593438080;1.812
MYPK3;ITAG;141465625;0.082
RANI3;ITAG;85725289;0.028
IRBR3;ITAG;1255286531;0.260
ITSA4;ITAG;4515538171;1.810
ITUB4;ITAG;4770095054;5.107
JALL3;ITAG;97713448;0.036
JBSS3;ITAG;1388025890;1.452
JHSF3;ITAG;288832602;0.075
JSLG3;ITAG;63399039;0.027
KEPL3;ITAG;26291930;0.053
KLBN11;ITAG;922294338;0.873
LAVV3;ITAG;93139429;0.028
LIGT3;ITAG;372555324;0.205
RENT3;ITAG;593841434;1.366
LCAM3;ITAG;323763077;0.319
LWSA3;ITAG;427663748;0.416
LOGG3;ITAG;59190591;0.068
LOGN3;ITAG;100109944;0.068
LAME3;ITAG;249502964;0.185
LAME4;ITAG;847010651;0.657
AMAR3;ITAG;111476495;0.037
LREN3;ITAG;887417914;1.411
LPSB3;ITAG;114874308;0.020
MDIA3;ITAG;83669782;0.098
MGLU3;ITAG;2668955512;2.029
POMO3;ITAG;167673527;0.019
POMO4;ITAG;573419889;0.070
MRFG3;ITAG;368864634;0.254
MATD3;ITAG;354723193;0.214
CASH3;ITAG;74543311;0.132
MELK3;ITAG;76214700;0.017
MTIG4;ITAG;41850;0.000
LEVE3;ITAG;38492519;0.046
MILS3;ITAG;115486678;0.036
BEEF3;ITAG;240482896;0.081
MTRE3;ITAG;54039454;0.023
MBLY3;ITAG;44444445;0.029
MODL3;ITAG;37206000;0.010
MODL4;ITAG;74394000;0.015
MODL11;ITAG;51050000;0.034
MOSI3;ITAG;55594460;0.037
MDNE3;ITAG;57199595;0.020
MOVI3;ITAG;132113940;0.094
MRVE3;ITAG;293978672;0.173
MULT3;ITAG;245888754;0.207
NEOE3;ITAG;226098192;0.141
NGRD3;ITAG;108100000;0.022
OPCT3;ITAG;199959554;0.064
ODPV3;ITAG;263448316;0.124
OMGE3;ITAG;122249557;0.167
ORVR3;ITAG;33918099;0.036
OSXB3;ITAG;1062294;0.000
OFSA3;ITAG;23582833;0.029
PCAR3;ITAG;156928631;0.218
PDTC3;ITAG;34893806;0.008
PGMN3;ITAG;159318000;0.064
PMAM3;ITAG;43403849;0.024
PETR3;ITAG;3684060179;4.011
PETR4;ITAG;4566457037;4.831
BRDT3;ITAG;1164958126;1.117
RECV3;ITAG;223667558;0.159
PRIO3;ITAG;807220415;0.566
PTNT4;ITAG;31585060;0.007
PETZ3;ITAG;261956811;0.242
PINE4;ITAG;53587434;0.006
PLPL3;ITAG;73404500;0.016
PSSA3;ITAG;93637072;0.180
PTBL3;ITAG;69996578;0.044
POSI3;ITAG;78616498;0.035
PRNR3;ITAG;38177550;0.014
PFRM3;ITAG;87499778;0.021
QUAL3;ITAG;283467789;0.295
LJQQ3;ITAG;177734774;0.146
RADL3;ITAG;1072645150;0.953
RAPT4;ITAG;177421406;0.087
RDOR3;ITAG;903127590;2.241
RDNI3;ITAG;15049835;0.006
RSID3;ITAG;13676606;0.005
RAIL3;ITAG;1218081171;0.838
SBSP3;ITAG;339999111;0.447
SAPR4;ITAG;203503821;0.030
SAPR11;ITAG;200991234;0.147
